text_content,sentiment_compound_score
"Cheetahs and Servals are like my dream pets at the moment. Big exotic felines with gorgeous colors, fun personalities and learning to understand them is worth it to me.",0.9136
"""Golden retrievers have gentle mouths, that's why they're good with cheetahs""

Or something like that",0.8074
"There is a cheetah and lion conservation farm close to where I work, and we had the opportunity to go see the lions, cheetahs, tigers, wild dogs and hyenas the other day. Definitely a good day to be in Africa.",0.8126
Hi n aww what a pretty kitty 😊 n there so adorable,0.9234
He’s just like me,0.3612
oh god i want to cuddle a cheetah so much n.n,0.34
0:21 I didn’t know this video also had a fox in it. 😍,0.4588
"Shout out to the Golden Retrievers. They’re used in the rehabilitation of so many different species it’s not even remotely funny, & as service animals for humans. They’re the really chill friend that always says “I gotchu” & actually means it & comes through, of the animal kingdom. Love those guys, you can’t go wrong. I didn’t want one when I got a dog, I wanted a black lab, or a staffy, but the golden retriever at the shelter stole my heart, so we took her home, & though losing her to old age was painful, I wouldn’t trade Sadie for the world, she was the best dog I ever had.",0.8218
"I had a Maine Coon. His name was Cujo. He weighed 20lbs and was the ruler of my other five cats I had at the time. He would play a game with me involving dry cat food. I would ask him if he was ready to play, at which point, he would take his position on the kitchen floor and wait for me to serve each nugget of Iams dry cat food, by sliding it toward him. He would swipe his paw, catching each piece before it reached it's destiny, and ate it. He loved this game and would continue to play until my knees got sore. I sure do miss him.",0.9042
I met a Maine Coon cat once. Super friendly and highly domesticated. They behave more like dogs in how they interact with their owners. The official state cat of Maine.,0.8718
"I had a Maine Coon cat for 12 yrs, I found her at a shelter about to be euthanized! I adopted her on the spot. 12 more year of nothing but love, cuddles, play & when I had eye surgery, she took over leading new around in my wheelchair with no training. The best & most loving nurse/fur kids ever! I miss her everyday & night. I dang Starlight, Starbright every night. Her name was Starr. Now an Angel😢",0.5956
Friend had a Maine Coon..it looked majestic...but the moment this fluffball meowed it sounded like a baby kitten,0.6908
Maine Coon and Rugdoll are so lovely for me but I love them all ofc I love cats.,0.948
"The Maine Coon cat. That's a large cat, that's all love.",0.6369
Maine Coon cat. Beautiful and laid back.❤,0.8442
Maine Coon cat. Beautiful and laid back.,0.5994
Without a doubt I would choose the Maine Coon Cat. Truly a majestic pet.,0.6136
I have been wanting a Maine Coon kitty forever. Love them.,0.6369
Cats are so cute I am in love with them,0.8429
Love my Maine Coon Fluffy back in 1996 ❤❤❤,0.9571
"I owned Ragdolls, not purebred, cousins female brought home surprise. 
. Best animals i have ever owned in my 70 year's of life",0.743
"Had my Maine Coon, Babygirl 4months shy of her 18th bday…😢😭.  What pure joy she gave me! ❤
Miss her with my whole heart…",0.126
"The Turkish breeds (yeah, they have regular cats too) are the Anatolian Angora and Van. Basically there's only two primary breeds, the Anatolian and the Angora,(the longer haired version of the Anatolian). The Van Cat is generally (hey, they are cats, they mix up a lot) just a color variety of the other two. The Van markings are (generally) a color patch on the head and (sometimes including the ears and a face mask) and tail, with one or more patches of color on the rear flank and occasionally also on the shoulder.

The Van's color patches can be a solid color, tabby, or (in females) Calico. The standard (short hair) Van and Anatolian cats have a short, soft and dense multi layer fur that is water resistant (they like water and swimming!), and the Angora are basically just a longer haired variety of the other two. The Angora also seems to have a really long tail, but they are not Persian. All three varieties have a rather small and wedge shaped head much like the original Siamese (before they bred them into sphinx like freaks) with fairly high cheek bones. They have longer rear legs than most breeds, and are excellent jumpers. When you look at them in profile, the butt is higher than the shoulders. The males are generally very muscular and are almost dog like when they walk. (Sometimes) They have great temperaments if raised properly, and are affectionate and even protective of their people and family members. I had a male (about twenty pounds, they ARE densely built) that charged down a full grown Rottweiler that was barking at my wife and I. He definitely wasn't happy about that. Ran him right out of the yard! 

They Turkish breeds are rather rare in the US, (as purebreds) but I've noticed that there are a lot of cats running around that have a lot of Turkish traits, which is good, as it can only improve their genetics. The few purebreds out there are fairly pricey, but the mixed ones are just like any other cats, so if you find one that has those traits, you should consider cooperating with the Cat Distribution System, and take one (or two, etc) home! They are really great Cats! 

Edit: the primary color is White! And (unlike most) the all white males often have Blue eyes, but are NOT deaf! So if you find a white male cat with blue eyes that's not deaf, they are almost certainly Anatolian (Turkish, etc.) They also are more prone than most breeds to have different colored eyes, usually blue and amber, or green, especially the females. It's another fairly distinctive trait in the Turkish breeds.
Not all of the males have blue eyes, but I think that most do.🐈🐈🐈🐈🐈",0.994
"I Love Them All!!! Had Persians / Himalayans All my Life, Recently I have a Feral Long hair Tuxedo Angora kitty girl ( Rescue), I would definitely Get a Maine Coon!!! Totally Love That Breed!!!💕💯🐈🐾 Loriann Middlesex Cty NJ USA n feral kitty girl 💕🐈🐾",0.9787
The first dog came in with confidence only to get bounced off of the lioness 🤣🤣🤣,0.9169
