platform,keyword_used,category,video_id,video_title,video_description,comment_id,text_content,comment_date,source_url,country_context,location_geographic,sentiment_label
YouTube,pebas stubfoot toad pet,Amphibian,11zaT-E2tAk,Purple Toads Atelopus barbotini #purpletoad #explore #feeding #fyp #reptilelover #amphibians #poison,,UgxT2iqh8_W5RCflkl14AaABAg,The one falling in the back 😂,2024-01-01T09:16:33Z,https://www.youtube.com/watch?v=11zaT-E2tAk,US,US (text signal),Positive
YouTube,pebas stubfoot toad pet,Amphibian,vmT6ifAAXZ8,Rare colorful Harlequin Frog from the Amazon Rainforest of Ecuador,"This is Atelopus spumarius, the Pebas stubfoot toad from the Amazon rainforest of Ecuador. Contrary to most other frogs they are ...",UgyWX-mseWGJCwIXnvR4AaABAg,"Un misterio de la Vida contemplar estas ""pequeñas"" obras de arte. Gracias por ilustrarnos con ésta enciclopedia viviente. Un saludo",2019-07-11T15:06:29Z,https://www.youtube.com/watch?v=vmT6ifAAXZ8,US,US (text signal),Neutral
YouTube,pebas stubfoot toad pet,Amphibian,vmT6ifAAXZ8,Rare colorful Harlequin Frog from the Amazon Rainforest of Ecuador,"This is Atelopus spumarius, the Pebas stubfoot toad from the Amazon rainforest of Ecuador. Contrary to most other frogs they are ...",UgzHyyBqs4gHqUwawgl4AaABAg,I haven't seen hairs like that on a frog. Did it pick up some dust or some spores? I'm not showing them on any other picture of this species either.,2019-07-11T16:40:44Z,https://www.youtube.com/watch?v=vmT6ifAAXZ8,US,US (text signal),Negative
YouTube,pebas stubfoot toad pet,Amphibian,QOx-4wdk1Eg,Harlequin toad (Atelopus) calling on the ground in its natural habitat,"Individual of Atelopus spumarius sensu lato (without red feet) filmed calling in its natural habitat in the state of Amapá, Brazil.",UgxZWmUah-p-yAAbQ6J4AaABAg,"I once recorded a small toad-frog by a small lake in slow mow its vocalization made the sound of a boat motor I was at the right place at the right time 😁👍
True events I even shared with the ISS Astronauts 💫🌎 🐸 👨‍🚀👨‍🚀👨‍🚀 THANKYOU NASA",2020-05-05T20:46:46Z,https://www.youtube.com/watch?v=QOx-4wdk1Eg,US,US (text signal),Positive
YouTube,pebas stubfoot toad pet,Amphibian,LpkFw7Hgob0,New Species! World&#39;s Rarest Toad Found?,"The most destructive disease ever known to science is raging through the Amazon, killing thousands, and leaving a trail of ...",Ugx8MwfXMYbL3fBGPDl4AaABAg,"For those of you that don't know, the poison dart frog is Mark's favorite animal. It made me happy to see him work with these toads.",2022-04-23T13:08:17Z,https://www.youtube.com/watch?v=LpkFw7Hgob0,US,US (text signal),Positive
YouTube,pebas stubfoot toad pet,Amphibian,LpkFw7Hgob0,New Species! World&#39;s Rarest Toad Found?,"The most destructive disease ever known to science is raging through the Amazon, killing thousands, and leaving a trail of ...",UgweDbfRXc_ed9Qp6p94AaABAg,always putting himself in danger to entertain us! respect 🔥,2022-04-23T13:05:50Z,https://www.youtube.com/watch?v=LpkFw7Hgob0,US,US (text signal),Negative
YouTube,pebas stubfoot toad pet,Amphibian,LpkFw7Hgob0,New Species! World&#39;s Rarest Toad Found?,"The most destructive disease ever known to science is raging through the Amazon, killing thousands, and leaving a trail of ...",UgwyDXBOz2kpzm5k73h4AaABAg,"the sight of toads give me goosebumps, i don't fear them, i can't get over this feeling",2022-04-23T13:03:28Z,https://www.youtube.com/watch?v=LpkFw7Hgob0,US,US (text signal),Positive
YouTube,pebas stubfoot toad pet,Amphibian,LpkFw7Hgob0,New Species! World&#39;s Rarest Toad Found?,"The most destructive disease ever known to science is raging through the Amazon, killing thousands, and leaving a trail of ...",Ugyux8NH4Qj3j19TvhR4AaABAg,"Amphibians going down really does affects everything else. Here in southern Louisiana since our toad populations were hurt so bad by pesticide use, we’ve lost both eastern hognose and Pygmy rattlesnakes throughout much of their range here. Really wild and sad to watch…. 
Great video on some awesome poison dart frogs Mark! I’m not sure if you guys would ever be interested in filming the US’s rarest frog species down here in South Mississippi, but if you guys want during the rainy season you should come join in the research! And even aside from rainy season, we’ve got some awesome reptiles as well :D",2022-04-23T13:27:46Z,https://www.youtube.com/watch?v=LpkFw7Hgob0,US,Louisiana,Positive
YouTube,pebas stubfoot toad pet,Amphibian,LpkFw7Hgob0,New Species! World&#39;s Rarest Toad Found?,"The most destructive disease ever known to science is raging through the Amazon, killing thousands, and leaving a trail of ...",Ugw8P9LkDogKswdDU5V4AaABAg,Caught five of doe’s yesterday near in the Amazon rain forest,2022-04-24T02:48:53Z,https://www.youtube.com/watch?v=LpkFw7Hgob0,US,US (text signal),Positive
YouTube,pebas stubfoot toad pet,Amphibian,LpkFw7Hgob0,New Species! World&#39;s Rarest Toad Found?,"The most destructive disease ever known to science is raging through the Amazon, killing thousands, and leaving a trail of ...",Ugygt73zMaovAojby1t4AaABAg,Omg i used to watch u when i was a kid i was 3 or 5 years old now im 15,2022-05-05T05:30:01Z,https://www.youtube.com/watch?v=LpkFw7Hgob0,US,US (text signal),Neutral
