platform,keyword_used,category,video_id,video_title,video_description,comment_id,text_content,comment_date,source_url,country_context,location_geographic,sentiment_label
YouTube,big cat pet,Big Cat,Kqxk4KQTfn0,This is why cheetahs are just bigger house cats! 🐈,shorts #animalfacts #animals.,UgzCHiX1aZjS4TPuzJh4AaABAg,The sudden primal urge to get a cheetah after watching this is driving me crazy,2025-04-26T11:58:52Z,https://www.youtube.com/watch?v=Kqxk4KQTfn0,US,US (text signal),Negative
YouTube,big cat pet,Big Cat,Kqxk4KQTfn0,This is why cheetahs are just bigger house cats! 🐈,shorts #animalfacts #animals.,UgxkjmU_mwVcMlPGEeZ4AaABAg,"Cheetahs and Servals are like my dream pets at the moment. Big exotic felines with gorgeous colors, fun personalities and learning to understand them is worth it to me.",2025-05-19T05:49:49Z,https://www.youtube.com/watch?v=Kqxk4KQTfn0,US,US (text signal),Positive
YouTube,big cat pet,Big Cat,Kqxk4KQTfn0,This is why cheetahs are just bigger house cats! 🐈,shorts #animalfacts #animals.,UgwWRc4OoDTlkZeZdKx4AaABAg,"""Golden retrievers have gentle mouths, that's why they're good with cheetahs""

Or something like that",2025-05-19T17:57:35Z,https://www.youtube.com/watch?v=Kqxk4KQTfn0,US,US (text signal),Positive
YouTube,big cat pet,Big Cat,Kqxk4KQTfn0,This is why cheetahs are just bigger house cats! 🐈,shorts #animalfacts #animals.,UgwYXWBr58E_uDLHGgd4AaABAg,Cheetahs have been kept as pets for thousands of years,2025-06-28T17:25:20Z,https://www.youtube.com/watch?v=Kqxk4KQTfn0,US,US (text signal),Neutral
YouTube,big cat pet,Big Cat,Kqxk4KQTfn0,This is why cheetahs are just bigger house cats! 🐈,shorts #animalfacts #animals.,UgzjaeIFtzSR6w47KUF4AaABAg,"There is a cheetah and lion conservation farm close to where I work, and we had the opportunity to go see the lions, cheetahs, tigers, wild dogs and hyenas the other day. Definitely a good day to be in Africa.",2025-08-05T04:09:56Z,https://www.youtube.com/watch?v=Kqxk4KQTfn0,US,US (text signal),Positive
YouTube,big cat pet,Big Cat,Kqxk4KQTfn0,This is why cheetahs are just bigger house cats! 🐈,shorts #animalfacts #animals.,Ugyix4fqmu-4AjkzIGB4AaABAg,Hi n aww what a pretty kitty 😊 n there so adorable,2025-10-13T20:52:53Z,https://www.youtube.com/watch?v=Kqxk4KQTfn0,US,US (text signal),Positive
YouTube,big cat pet,Big Cat,Kqxk4KQTfn0,This is why cheetahs are just bigger house cats! 🐈,shorts #animalfacts #animals.,UgzZzYSHruVl2IzI4rt4AaABAg,Yup. Cheetahs in captivity often get their own dog companions.,2026-01-21T21:36:35Z,https://www.youtube.com/watch?v=Kqxk4KQTfn0,US,US (text signal),Neutral
YouTube,big cat pet,Big Cat,Kqxk4KQTfn0,This is why cheetahs are just bigger house cats! 🐈,shorts #animalfacts #animals.,UgxxXBOcuizDkX0Ipj94AaABAg,"As was also found out by the breeding experiment with foxes, the lower stress environment lowers the cortisol stress hormone which causes other neurochemical changes that increase docility and sociability. As with most animals, remove them from the stressful life of every day being a fight for survival for a few generations and you get a creature that has become so human adapted that their personalities can take a massive u-turn from the usual standoffishness and wariness of their wild counterparts. Adding _the_ dog breed that by default sees everything as a friend has fast tracked this in cheetahs.",2025-10-07T20:50:31Z,https://www.youtube.com/watch?v=Kqxk4KQTfn0,US,US (text signal),Negative
YouTube,big cat pet,Big Cat,Kqxk4KQTfn0,This is why cheetahs are just bigger house cats! 🐈,shorts #animalfacts #animals.,UgwEL_j8P-cMdbT42Jl4AaABAg,He’s just like me,2026-02-11T20:26:33Z,https://www.youtube.com/watch?v=Kqxk4KQTfn0,US,US (text signal),Positive
YouTube,big cat pet,Big Cat,Kqxk4KQTfn0,This is why cheetahs are just bigger house cats! 🐈,shorts #animalfacts #animals.,UgxVh8faB3K9VBot5Gp4AaABAg,oh god i want to cuddle a cheetah so much n.n,2025-12-29T12:01:56Z,https://www.youtube.com/watch?v=Kqxk4KQTfn0,US,US (text signal),Positive
YouTube,big cat pet,Big Cat,Kqxk4KQTfn0,This is why cheetahs are just bigger house cats! 🐈,shorts #animalfacts #animals.,Ugxpj4sp_th4Z5B8i354AaABAg,0:21 I didn’t know this video also had a fox in it. 😍,2026-02-26T19:11:16Z,https://www.youtube.com/watch?v=Kqxk4KQTfn0,US,US (text signal),Positive
YouTube,big cat pet,Big Cat,Kqxk4KQTfn0,This is why cheetahs are just bigger house cats! 🐈,shorts #animalfacts #animals.,Ugy6yihc9q7ZDUBInVF4AaABAg,Hunter from Spyro brought me here,2026-01-31T17:29:56Z,https://www.youtube.com/watch?v=Kqxk4KQTfn0,US,US (text signal),Neutral
YouTube,big cat pet,Big Cat,Kqxk4KQTfn0,This is why cheetahs are just bigger house cats! 🐈,shorts #animalfacts #animals.,UgyTdbhwYN2kefyzuoB4AaABAg,Cheetah as pet.... Don't give me hope 😆,2025-12-19T03:09:36Z,https://www.youtube.com/watch?v=Kqxk4KQTfn0,US,US (text signal),Neutral
YouTube,big cat pet,Big Cat,Kqxk4KQTfn0,This is why cheetahs are just bigger house cats! 🐈,shorts #animalfacts #animals.,UgxDlkmewcGH3iWqbSt4AaABAg,"Shout out to the Golden Retrievers. They’re used in the rehabilitation of so many different species it’s not even remotely funny, & as service animals for humans. They’re the really chill friend that always says “I gotchu” & actually means it & comes through, of the animal kingdom. Love those guys, you can’t go wrong. I didn’t want one when I got a dog, I wanted a black lab, or a staffy, but the golden retriever at the shelter stole my heart, so we took her home, & though losing her to old age was painful, I wouldn’t trade Sadie for the world, she was the best dog I ever had.",2026-02-25T20:04:16Z,https://www.youtube.com/watch?v=Kqxk4KQTfn0,US,US (text signal),Positive
YouTube,big cat pet,Big Cat,Kqxk4KQTfn0,This is why cheetahs are just bigger house cats! 🐈,shorts #animalfacts #animals.,Ugy2ovJxIXV4Y5Xy1sF4AaABAg,Now youve made me search for a pet cheetah,2025-07-19T02:28:14Z,https://www.youtube.com/watch?v=Kqxk4KQTfn0,US,US (text signal),Neutral
YouTube,big cat pet,Big Cat,Kqxk4KQTfn0,This is why cheetahs are just bigger house cats! 🐈,shorts #animalfacts #animals.,UgxLEmJVhZGL929JIA94AaABAg,Remember it is weakest in strength in big cats and less aggressive too but it can still f*ck you up if you trouble it....,2025-08-15T08:09:01Z,https://www.youtube.com/watch?v=Kqxk4KQTfn0,US,US (text signal),Negative
YouTube,big cat pet,Big Cat,4AWeSs5EKEo,Top 5 Biggest Cat Breeds (Number 1 Looks Like a Wild Animal!) #BigCats #CatLovers #WildLookingCats,"These house cats are HUGE—and totally lovable! From long-legged jungle hybrids to majestic fluff monsters, we're counting ...",UgzMBkntuQlHa-W7vGR4AaABAg,"I had a Maine Coon. His name was Cujo. He weighed 20lbs and was the ruler of my other five cats I had at the time. He would play a game with me involving dry cat food. I would ask him if he was ready to play, at which point, he would take his position on the kitchen floor and wait for me to serve each nugget of Iams dry cat food, by sliding it toward him. He would swipe his paw, catching each piece before it reached it's destiny, and ate it. He loved this game and would continue to play until my knees got sore. I sure do miss him.",2025-05-08T07:42:52Z,https://www.youtube.com/watch?v=4AWeSs5EKEo,US,Maine,Positive
YouTube,big cat pet,Big Cat,4AWeSs5EKEo,Top 5 Biggest Cat Breeds (Number 1 Looks Like a Wild Animal!) #BigCats #CatLovers #WildLookingCats,"These house cats are HUGE—and totally lovable! From long-legged jungle hybrids to majestic fluff monsters, we're counting ...",UgzfZnhxiPks6vMSIOZ4AaABAg,I met a Maine Coon cat once. Super friendly and highly domesticated. They behave more like dogs in how they interact with their owners. The official state cat of Maine.,2025-04-30T18:34:17Z,https://www.youtube.com/watch?v=4AWeSs5EKEo,US,Maine,Positive
YouTube,big cat pet,Big Cat,4AWeSs5EKEo,Top 5 Biggest Cat Breeds (Number 1 Looks Like a Wild Animal!) #BigCats #CatLovers #WildLookingCats,"These house cats are HUGE—and totally lovable! From long-legged jungle hybrids to majestic fluff monsters, we're counting ...",Ugxo_P1PqDG8bRC-Yql4AaABAg,"I had a Maine Coon cat for 12 yrs, I found her at a shelter about to be euthanized! I adopted her on the spot. 12 more year of nothing but love, cuddles, play & when I had eye surgery, she took over leading new around in my wheelchair with no training. The best & most loving nurse/fur kids ever! I miss her everyday & night. I dang Starlight, Starbright every night. Her name was Starr. Now an Angel😢",2025-05-27T20:26:13Z,https://www.youtube.com/watch?v=4AWeSs5EKEo,US,Maine,Positive
YouTube,big cat pet,Big Cat,4AWeSs5EKEo,Top 5 Biggest Cat Breeds (Number 1 Looks Like a Wild Animal!) #BigCats #CatLovers #WildLookingCats,"These house cats are HUGE—and totally lovable! From long-legged jungle hybrids to majestic fluff monsters, we're counting ...",UgzHwzpciJA6Dscv1Jl4AaABAg,Friend had a Maine Coon..it looked majestic...but the moment this fluffball meowed it sounded like a baby kitten,2025-05-01T12:47:01Z,https://www.youtube.com/watch?v=4AWeSs5EKEo,US,Maine,Positive
YouTube,big cat pet,Big Cat,4AWeSs5EKEo,Top 5 Biggest Cat Breeds (Number 1 Looks Like a Wild Animal!) #BigCats #CatLovers #WildLookingCats,"These house cats are HUGE—and totally lovable! From long-legged jungle hybrids to majestic fluff monsters, we're counting ...",UgxZA7D264PbxGWwYut4AaABAg,Maine Coon and Rugdoll are so lovely for me but I love them all ofc I love cats.,2025-05-02T14:35:53Z,https://www.youtube.com/watch?v=4AWeSs5EKEo,US,Maine,Positive
YouTube,big cat pet,Big Cat,4AWeSs5EKEo,Top 5 Biggest Cat Breeds (Number 1 Looks Like a Wild Animal!) #BigCats #CatLovers #WildLookingCats,"These house cats are HUGE—and totally lovable! From long-legged jungle hybrids to majestic fluff monsters, we're counting ...",Ugxbga9FdFniM-4CvUB4AaABAg,"The Maine Coon cat. That's a large cat, that's all love.",2025-04-27T16:37:22Z,https://www.youtube.com/watch?v=4AWeSs5EKEo,US,Maine,Positive
