Pet,Total_Comments,Contribution_%
african grey parrot pet,1319,19.56
amazon parrot pet,451,6.69
cockatoo pet,1183,17.54
great green macaw pet,180,2.67
hyacinth macaw pet,234,3.47
macaw pet,296,4.39
military macaw pet,80,1.19
moluccan cockatoo pet,554,8.21
orange-fronted parakeet pet,100,1.48
painted bunting pet,107,1.59
red siskin pet,21,0.31
salmon-crested cockatoo pet,361,5.35
scarlet macaw pet,624,9.25
sulfur crested cockatoo pet,451,6.69
umbrella cockatoo pet,354,5.25
yellow-headed amazon pet,64,0.95
yellow-naped amazon pet,366,5.43
