Pet,Positive,Neutral,Negative,Total,Positive_%,Neutral_%,Negative_%
bush baby pet,214,73,59,346,61.85,21.1,17.05
capuchin monkey pet,395,116,153,664,59.49,17.47,23.04
chimpanzee pet,605,183,256,1044,57.95,17.53,24.52
gibbon pet,267,94,72,433,61.66,21.71,16.63
howler monkey pet,92,42,26,160,57.5,26.25,16.25
kinkajou pet,280,53,47,380,73.68,13.95,12.37
lar gibbon pet,28,10,10,48,58.33,20.83,20.83
lemur pet,207,69,41,317,65.3,21.77,12.93
macaque pet,246,85,202,533,46.15,15.95,37.9
marmoset pet,281,91,96,468,60.04,19.44,20.51
pigtail macaque pet,145,65,96,306,47.39,21.24,31.37
pygmy marmoset pet,146,37,26,209,69.86,17.7,12.44
ring-tailed lemur pet,41,17,11,69,59.42,24.64,15.94
slow loris pet,142,58,120,320,44.38,18.12,37.5
squirrel monkey pet,141,31,33,205,68.78,15.12,16.1
vervet monkey pet,342,52,95,489,69.94,10.63,19.43
