platform,keyword_used,category,video_id,video_title,video_description,comment_id,text_content,comment_date,source_url,country_context,location_geographic,sentiment_label
YouTube,bog turtle pet,Turtle/Tortoise,DWDeYqS-Eww,Bog Turtle- Species Profile 2021,,UgzrGlrpwutZICBDh1N4AaABAg,Nice vid. I've never found them. Also can you do a vid about amphibians that live in NJ?,2021-02-17T22:18:25Z,https://www.youtube.com/watch?v=DWDeYqS-Eww,US,US (text signal),Positive
YouTube,bog turtle pet,Turtle/Tortoise,DWDeYqS-Eww,Bog Turtle- Species Profile 2021,,Ugz8-npZL6QDBgsfXCp4AaABAg,I hope I get to see a bog turtle in my life. Thanks for the fun facts :),2023-02-17T03:55:03Z,https://www.youtube.com/watch?v=DWDeYqS-Eww,US,US (text signal),Positive
YouTube,bog turtle pet,Turtle/Tortoise,DWDeYqS-Eww,Bog Turtle- Species Profile 2021,,UgyOoEPukoQ7uSsjGlN4AaABAg,Only Scientists and Biologists know the spots of these and Blanding's Turtles. Even in NY they are hard to find. Have better chance of finding a wood and spotted turtle lol.,2021-02-17T18:15:49Z,https://www.youtube.com/watch?v=DWDeYqS-Eww,US,US (text signal),Positive
YouTube,bog turtle pet,Turtle/Tortoise,ekX3W4CoV78,Bog Turtles - Maryland Department of Natural Resources,Bog Turtles - Maryland Department of Natural Resources A video produced by the Maryland Department of Natural Resources ...,UgzX0QcI6sjCPKgUByV4AaABAg,I knew it I came across a turtle like this driving to work in Maryland I thought it was a eastern box turtle but it was too small I touched it to help him/her cross the road. Sorry no picture,2026-02-13T06:49:37Z,https://www.youtube.com/watch?v=ekX3W4CoV78,US,Maryland,Positive
YouTube,bog turtle pet,Turtle/Tortoise,ekX3W4CoV78,Bog Turtles - Maryland Department of Natural Resources,Bog Turtles - Maryland Department of Natural Resources A video produced by the Maryland Department of Natural Resources ...,Ugyk-lialwmbW4McvAJ4AaABAg,Thanks now I know facts about mah Maryland turtle :D,2020-09-19T22:15:17Z,https://www.youtube.com/watch?v=ekX3W4CoV78,US,Maryland,Positive
YouTube,bog turtle pet,Turtle/Tortoise,I9D4hJkeUPg,This turtle is only found in a few places,The bog turtle is an endangered species that primarily inhabits places like New Jersey #bogturtle #turtle #nature #educational ...,UgzXemBwQ4gGD-yAoGZ4AaABAg,"I owned a turtle that was super tiny 
He was living in the worse tank ever so I adopted him and made sure he was super happy",2023-02-28T20:06:26Z,https://www.youtube.com/watch?v=I9D4hJkeUPg,US,US (text signal),Positive
YouTube,bog turtle pet,Turtle/Tortoise,I9D4hJkeUPg,This turtle is only found in a few places,The bog turtle is an endangered species that primarily inhabits places like New Jersey #bogturtle #turtle #nature #educational ...,UgyPk5yMZJtubryjhw94AaABAg,"Can you do endemic species of michigan, please?",2023-03-01T11:25:18Z,https://www.youtube.com/watch?v=I9D4hJkeUPg,US,Michigan,Positive
YouTube,bog turtle pet,Turtle/Tortoise,I9D4hJkeUPg,This turtle is only found in a few places,The bog turtle is an endangered species that primarily inhabits places like New Jersey #bogturtle #turtle #nature #educational ...,Ugyz4tS-CMJbz9H4bhZ4AaABAg,Pennsylvania... Love your content good sir,2023-03-05T14:41:38Z,https://www.youtube.com/watch?v=I9D4hJkeUPg,US,Pennsylvania,Positive
YouTube,bog turtle pet,Turtle/Tortoise,I9D4hJkeUPg,This turtle is only found in a few places,The bog turtle is an endangered species that primarily inhabits places like New Jersey #bogturtle #turtle #nature #educational ...,Ugw_zieyGOt9nx8_ijp4AaABAg,Oh my gosh they're ADORABLE! X3,2023-02-28T20:31:00Z,https://www.youtube.com/watch?v=I9D4hJkeUPg,US,US (text signal),Positive
YouTube,bog turtle pet,Turtle/Tortoise,I9D4hJkeUPg,This turtle is only found in a few places,The bog turtle is an endangered species that primarily inhabits places like New Jersey #bogturtle #turtle #nature #educational ...,Ugz0J9yM4UXCFODRR214AaABAg,"Georgia
If you haven't already done it
Just an interesting side note any animal that's native like the Eastern hognose cannot be owned as pet doesn't matter if it's wild cought or captive-bred if it's native in Georgia it cannot be a pet.
It doesn't apply to venomous snakes tho",2023-03-01T02:09:29Z,https://www.youtube.com/watch?v=I9D4hJkeUPg,US,Georgia,Positive
