Pet,Positive,Neutral,Negative,Total,Positive_%,Neutral_%,Negative_%
bog turtle pet,314,112,72,498,63.05,22.49,14.46
box turtle pet,692,133,119,944,73.31,14.09,12.61
eastern box turtle pet,94,22,17,133,70.68,16.54,12.78
hispaniolan slider pet,18,5,1,24,75.0,20.83,4.17
mata mata turtle pet,256,129,83,468,54.7,27.56,17.74
mexican box turtle pet,150,36,30,216,69.44,16.67,13.89
musk turtle pet,194,49,35,278,69.78,17.63,12.59
orinoco mata mata pet,23,36,23,82,28.05,43.9,28.05
painted turtle pet,356,127,109,592,60.14,21.45,18.41
radiated tortoise pet,559,100,71,730,76.58,13.7,9.73
russian steppe tortoise pet,359,76,62,497,72.23,15.29,12.47
slider turtle pet,382,88,103,573,66.67,15.36,17.98
spotted turtle pet,148,45,20,213,69.48,21.13,9.39
striped mud turtle pet,173,41,26,240,72.08,17.08,10.83
