platform,keyword_used,category,video_id,video_title,video_description,comment_id,text_content,comment_date,source_url,country_context,location_geographic,clean_text,knowledge_gap_type
YouTube,big cat pet,Big Cat,Kqxk4KQTfn0,This is why cheetahs are just bigger house cats! 🐈,shorts #animalfacts #animals.,UgxkjmU_mwVcMlPGEeZ4AaABAg,"Cheetahs and Servals are like my dream pets at the moment. Big exotic felines with gorgeous colors, fun personalities and learning to understand them is worth it to me.",2025-05-19T05:49:49Z,https://www.youtube.com/watch?v=Kqxk4KQTfn0,US,US (text signal),cheetahs and servals are like my dream pets at the moment big exotic felines with gorgeous colors fun personalities and learning to understand them is worth it to me,Interest Without Knowledge
YouTube,big cat pet,Big Cat,Kqxk4KQTfn0,This is why cheetahs are just bigger house cats! 🐈,shorts #animalfacts #animals.,UgwWRc4OoDTlkZeZdKx4AaABAg,"""Golden retrievers have gentle mouths, that's why they're good with cheetahs""

Or something like that",2025-05-19T17:57:35Z,https://www.youtube.com/watch?v=Kqxk4KQTfn0,US,US (text signal),golden retrievers have gentle mouths that's why they're good with cheetahs or something like that,Interested but Fearful of Harm
YouTube,big cat pet,Big Cat,Kqxk4KQTfn0,This is why cheetahs are just bigger house cats! 🐈,shorts #animalfacts #animals.,UgzZzYSHruVl2IzI4rt4AaABAg,Yup. Cheetahs in captivity often get their own dog companions.,2026-01-21T21:36:35Z,https://www.youtube.com/watch?v=Kqxk4KQTfn0,US,US (text signal),yup cheetahs in captivity often get their own dog companions,Interested but Fearful of Harm
YouTube,big cat pet,Big Cat,Kqxk4KQTfn0,This is why cheetahs are just bigger house cats! 🐈,shorts #animalfacts #animals.,Ugxpj4sp_th4Z5B8i354AaABAg,0:21 I didn’t know this video also had a fox in it. 😍,2026-02-26T19:11:16Z,https://www.youtube.com/watch?v=Kqxk4KQTfn0,US,US (text signal),0 21 i didn t know this video also had a fox in it,Interest Without Knowledge
YouTube,big cat pet,Big Cat,Kqxk4KQTfn0,This is why cheetahs are just bigger house cats! 🐈,shorts #animalfacts #animals.,Ugy2ovJxIXV4Y5Xy1sF4AaABAg,Now youve made me search for a pet cheetah,2025-07-19T02:28:14Z,https://www.youtube.com/watch?v=Kqxk4KQTfn0,US,US (text signal),now youve made me search for a pet cheetah,Interest Without Knowledge
YouTube,big cat pet,Big Cat,4AWeSs5EKEo,Top 5 Biggest Cat Breeds (Number 1 Looks Like a Wild Animal!) #BigCats #CatLovers #WildLookingCats,"These house cats are HUGE—and totally lovable! From long-legged jungle hybrids to majestic fluff monsters, we're counting ...",UgzfZnhxiPks6vMSIOZ4AaABAg,I met a Maine Coon cat once. Super friendly and highly domesticated. They behave more like dogs in how they interact with their owners. The official state cat of Maine.,2025-04-30T18:34:17Z,https://www.youtube.com/watch?v=4AWeSs5EKEo,US,Maine,i met a maine coon cat once super friendly and highly domesticated they behave more like dogs in how they interact with their owners the official state cat of maine,Interested but Fearful of Harm
YouTube,big cat pet,Big Cat,XEYpyJJKDvM,Brave Dog save Snowy from Kenzo 😳 #tiger #babycats #tigercat #babytigers #tigerfight #zoo #kenzo,Brave Dog save Snowy from Kenzo #tiger #babycats #tigercat #babytigers #tigerfight #zoo #kenzo.,Ugz8kbug2ur2anqFYoB4AaABAg,That corgi definitely was a honey badger in its past life.😂,2024-05-16T09:25:14Z,https://www.youtube.com/watch?v=XEYpyJJKDvM,US,US (text signal),that corgi definitely was a honey badger in its past life,Interested but Fearful of Harm
YouTube,big cat pet,Big Cat,XEYpyJJKDvM,Brave Dog save Snowy from Kenzo 😳 #tiger #babycats #tigercat #babytigers #tigerfight #zoo #kenzo,Brave Dog save Snowy from Kenzo #tiger #babycats #tigercat #babytigers #tigerfight #zoo #kenzo.,Ugy9OkW1rDSmaqzMxZt4AaABAg,I thought the family hamster was gonna join in next.,2024-05-03T21:16:29Z,https://www.youtube.com/watch?v=XEYpyJJKDvM,US,US (text signal),i thought the family hamster was gonna join in next,Interest Without Knowledge
YouTube,big cat pet,Big Cat,XEYpyJJKDvM,Brave Dog save Snowy from Kenzo 😳 #tiger #babycats #tigercat #babytigers #tigerfight #zoo #kenzo,Brave Dog save Snowy from Kenzo #tiger #babycats #tigercat #babytigers #tigerfight #zoo #kenzo.,UgxAPq3geF94oFocw794AaABAg,Those doggos got heart but don’t realize they can have it ripped away in seconds! 😂😂😂😂,2025-02-21T23:15:42Z,https://www.youtube.com/watch?v=XEYpyJJKDvM,US,US (text signal),those doggos got heart but don t realize they can have it ripped away in seconds,Interest Without Knowledge
YouTube,big cat pet,Big Cat,XEYpyJJKDvM,Brave Dog save Snowy from Kenzo 😳 #tiger #babycats #tigercat #babytigers #tigerfight #zoo #kenzo,Brave Dog save Snowy from Kenzo #tiger #babycats #tigercat #babytigers #tigerfight #zoo #kenzo.,UgyU_37T-VUgRtOq9VR4AaABAg,God please give me the confidence of the corgi and the patience of the tiger,2024-05-23T09:18:49Z,https://www.youtube.com/watch?v=XEYpyJJKDvM,US,US (text signal),god please give me the confidence of the corgi and the patience of the tiger,Interest Without Knowledge
YouTube,big cat pet,Big Cat,XEYpyJJKDvM,Brave Dog save Snowy from Kenzo 😳 #tiger #babycats #tigercat #babytigers #tigerfight #zoo #kenzo,Brave Dog save Snowy from Kenzo #tiger #babycats #tigercat #babytigers #tigerfight #zoo #kenzo.,UgzF_8vCSZaEvt6Tbah4AaABAg,Wait I love how the tiger backed off once the Corgi jumped in 😂😂❤❤,2025-06-29T12:28:48Z,https://www.youtube.com/watch?v=XEYpyJJKDvM,US,US (text signal),wait i love how the tiger backed off once the corgi jumped in,Interested but Fearful of Harm
YouTube,big cat pet,Big Cat,eeaBpbAM7JY,Оn the claws / off the claws 😂,,UgxWdN1uKc2cRtg63Yd4AaABAg,"I have never ever seen a cat, big or smoll, let anyone do that with their paws, this big fur baby must really trust and love you for this to happen ❤",2025-05-10T19:08:43Z,https://www.youtube.com/watch?v=eeaBpbAM7JY,US,US (text signal),i have never ever seen a cat big or smoll let anyone do that with their paws this big fur baby must really trust and love you for this to happen,Interest Without Knowledge
YouTube,big cat pet,Big Cat,eeaBpbAM7JY,Оn the claws / off the claws 😂,,UgydXY1ZqswhSp3ajZd4AaABAg,Wow!!! Oh my gosh!! Those are the most terrifying claws I've ever seen 😮😮😮. Such a wonderful watch cat!! So glad Luna's on our side ❤,2025-05-10T18:24:03Z,https://www.youtube.com/watch?v=eeaBpbAM7JY,US,US (text signal),wow oh my gosh those are the most terrifying claws i've ever seen such a wonderful watch cat so glad luna's on our side,Interested but Fearful of Harm
YouTube,big cat pet,Big Cat,eeaBpbAM7JY,Оn the claws / off the claws 😂,,UgyLPVXWxr3BCtrcefx4AaABAg,"😂❤ I remember hearing years ago that cats are supposedly ""ticklish"" in the area between the pads of their claws. 
Luna is so very precious! 😍
Thank you for sharing her little, daily amusements.
❤",2025-05-11T14:06:10Z,https://www.youtube.com/watch?v=eeaBpbAM7JY,US,US (text signal),i remember hearing years ago that cats are supposedly ticklish in the area between the pads of their claws luna is so very precious thank you for sharing her little daily amusements,Interested but Fearful of Harm
YouTube,big cat pet,Big Cat,BHNS1f_y5Ac,Ranking Best Big Cat Housecats Moments,memes #funny #compilation #ranked #laugh #memesdaily #meme #cat #tiger #lion.,UgxXsR5LuG9k-uK_pm94AaABAg,"If I could have a big cat for a pet, id take bobcat, they ain't that strong",2025-09-15T02:50:33Z,https://www.youtube.com/watch?v=BHNS1f_y5Ac,US,US (text signal),if i could have a big cat for a pet id take bobcat they ain't that strong,Interested but Fearful of Harm
YouTube,big cat pet,Big Cat,DMiK9CZ_1W0,Big Dog and Big Cat didn&#39;t get along with each other.,,Ugws-6EGbs_8c8jiRsp4AaABAg,"Love how the little dog came at the end like he was thinking ""finally someone here to save me from this maniac"". The best part is cat seems to like him but not the pit😂",2024-09-10T20:33:28Z,https://www.youtube.com/watch?v=DMiK9CZ_1W0,US,US (text signal),love how the little dog came at the end like he was thinking finally someone here to save me from this maniac the best part is cat seems to like him but not the pit,Interested but Fearful of Harm
