platform,keyword_used,category,video_id,video_title,video_description,comment_id,text_content,comment_date,source_url,country_context,location_geographic,clean_text,conservation_type,conservation_score,conservation_subtheme,final_category
YouTube,big cat pet,Big Cats,Kqxk4KQTfn0,This is why cheetahs are just bigger house cats! 🐈,shorts #animalfacts #animals.,UgwYXWBr58E_uDLHGgd4AaABAg,Cheetahs have been kept as pets for thousands of years,2025-06-28T17:25:20Z,https://www.youtube.com/watch?v=Kqxk4KQTfn0,US,US (text signal),cheetahs have been kept as pets for thousands of years,Conservation Concern,0.7752062082290649,Endangered Species Awareness,Big Cats
YouTube,big cat pet,Big Cats,Kqxk4KQTfn0,This is why cheetahs are just bigger house cats! 🐈,shorts #animalfacts #animals.,UgzjaeIFtzSR6w47KUF4AaABAg,"There is a cheetah and lion conservation farm close to where I work, and we had the opportunity to go see the lions, cheetahs, tigers, wild dogs and hyenas the other day. Definitely a good day to be in Africa.",2025-08-05T04:09:56Z,https://www.youtube.com/watch?v=Kqxk4KQTfn0,US,US (text signal),there is a cheetah and lion conservation farm close to where i work and we had the opportunity to go see the lions cheetahs tigers wild dogs and hyenas the other day definitely a good day to be in africa,Conservation Concern,0.9993917346000671,Endangered Species Awareness,Big Cats
YouTube,big cat pet,Big Cats,Kqxk4KQTfn0,This is why cheetahs are just bigger house cats! 🐈,shorts #animalfacts #animals.,UgyTdbhwYN2kefyzuoB4AaABAg,Cheetah as pet.... Don't give me hope 😆,2025-12-19T03:09:36Z,https://www.youtube.com/watch?v=Kqxk4KQTfn0,US,US (text signal),cheetah as pet don't give me hope,Conservation Concern,0.9718592166900635,Endangered Species Awareness,Big Cats
YouTube,big cat pet,Big Cats,XEYpyJJKDvM,Brave Dog save Snowy from Kenzo 😳 #tiger #babycats #tigercat #babytigers #tigerfight #zoo #kenzo,Brave Dog save Snowy from Kenzo #tiger #babycats #tigercat #babytigers #tigerfight #zoo #kenzo.,UgyiszIjQRl7gEXvglB4AaABAg,The first dog came in with confidence only to get bounced off of the lioness 🤣🤣🤣,2025-03-25T13:57:29Z,https://www.youtube.com/watch?v=XEYpyJJKDvM,US,US (text signal),the first dog came in with confidence only to get bounced off of the lioness,Conservation Concern,0.747201144695282,Wild Population / Habitat Concern,Big Cats
YouTube,big cat pet,Big Cats,XEYpyJJKDvM,Brave Dog save Snowy from Kenzo 😳 #tiger #babycats #tigercat #babytigers #tigerfight #zoo #kenzo,Brave Dog save Snowy from Kenzo #tiger #babycats #tigercat #babytigers #tigerfight #zoo #kenzo.,UgyjQ-kgnKxUJ_vB6zt4AaABAg,"Tiger didn't even blink at the bigger dog, but lil one made the tiger stop in his tracks!!! You go little one!!! ❤",2024-05-19T21:36:35Z,https://www.youtube.com/watch?v=XEYpyJJKDvM,US,US (text signal),tiger didn't even blink at the bigger dog but lil one made the tiger stop in his tracks you go little one,Conservation Concern,0.743354320526123,Wild Population / Habitat Concern,Big Cats
YouTube,big cat pet,Big Cats,iI2DtQnLxSk,My Bucket,,UgzW9HenI7QXvxTHhep4AaABAg,"Panther: ""MY BUCKET!!""
ME: "" Enjoy your bucket, bro!""",2024-07-27T00:35:19Z,https://www.youtube.com/watch?v=iI2DtQnLxSk,US,US (text signal),panther my bucket me enjoy your bucket bro,Conservation Concern,0.7626008987426758,Wildlife Trade / Trafficking,Big Cats
YouTube,big cat pet,Big Cats,BHNS1f_y5Ac,Ranking Best Big Cat Housecats Moments,memes #funny #compilation #ranked #laugh #memesdaily #meme #cat #tiger #lion.,UgxbBgqvrPCptmm5LYV4AaABAg,Big cat core has me dying every day,2025-08-08T17:15:06Z,https://www.youtube.com/watch?v=BHNS1f_y5Ac,US,US (text signal),big cat core has me dying every day,Conservation Concern,0.9824904203414917,Endangered Species Awareness,Big Cats
YouTube,big cat pet,Big Cats,BHNS1f_y5Ac,Ranking Best Big Cat Housecats Moments,memes #funny #compilation #ranked #laugh #memesdaily #meme #cat #tiger #lion.,UgzDH1dfSuZwr3trJmd4AaABAg,The last cheetah belike i hate u i hate u is the camra off ok i love u,2025-07-10T02:10:04Z,https://www.youtube.com/watch?v=BHNS1f_y5Ac,US,US (text signal),the last cheetah belike i hate u i hate u is the camra off ok i love u,Conservation Concern,0.9117314219474792,Endangered Species Awareness,Big Cats
YouTube,big cat pet,Big Cats,BHNS1f_y5Ac,Ranking Best Big Cat Housecats Moments,memes #funny #compilation #ranked #laugh #memesdaily #meme #cat #tiger #lion.,UgylCXKnOmXjQ682o7d4AaABAg,There like cats in big dogs bodies,2025-09-29T23:15:07Z,https://www.youtube.com/watch?v=BHNS1f_y5Ac,US,US (text signal),there like cats in big dogs bodies,Conservation Concern,0.879612922668457,Wildlife Trade / Trafficking,Big Cats
YouTube,big cat pet,Big Cats,DMiK9CZ_1W0,Big Dog and Big Cat didn&#39;t get along with each other.,,Ugw_7jPCStcY32rqU3x4AaABAg,The cougar is beautiful but this kind of introduction is not ok… its terrifying for both of them,2024-09-07T11:52:57Z,https://www.youtube.com/watch?v=DMiK9CZ_1W0,US,US (text signal),the cougar is beautiful but this kind of introduction is not ok its terrifying for both of them,Conservation Concern,0.9561454057693481,Wild Population / Habitat Concern,Big Cats
