platform,keyword_used,category,video_id,video_title,video_description,comment_id,text_content,comment_date,source_url,country_context,location_geographic,clean_text,motivation_type,motivation_score
YouTube,big cat pet,Big Cat,Kqxk4KQTfn0,This is why cheetahs are just bigger house cats! 🐈,shorts #animalfacts #animals.,UgzCHiX1aZjS4TPuzJh4AaABAg,The sudden primal urge to get a cheetah after watching this is driving me crazy,2025-04-26T11:58:52Z,https://www.youtube.com/watch?v=Kqxk4KQTfn0,US,US (text signal),the sudden primal urge to get a cheetah after watching this is driving me crazy,Active Motivation / Ownership Desire,0.9863835573196411
YouTube,big cat pet,Big Cat,Kqxk4KQTfn0,This is why cheetahs are just bigger house cats! 🐈,shorts #animalfacts #animals.,UgxkjmU_mwVcMlPGEeZ4AaABAg,"Cheetahs and Servals are like my dream pets at the moment. Big exotic felines with gorgeous colors, fun personalities and learning to understand them is worth it to me.",2025-05-19T05:49:49Z,https://www.youtube.com/watch?v=Kqxk4KQTfn0,US,US (text signal),cheetahs and servals are like my dream pets at the moment big exotic felines with gorgeous colors fun personalities and learning to understand them is worth it to me,Active Motivation / Ownership Desire,0.888288140296936
YouTube,big cat pet,Big Cat,Kqxk4KQTfn0,This is why cheetahs are just bigger house cats! 🐈,shorts #animalfacts #animals.,UgwEL_j8P-cMdbT42Jl4AaABAg,He’s just like me,2026-02-11T20:26:33Z,https://www.youtube.com/watch?v=Kqxk4KQTfn0,US,US (text signal),he s just like me,Active Motivation / Ownership Desire,0.7742573618888855
YouTube,big cat pet,Big Cat,Kqxk4KQTfn0,This is why cheetahs are just bigger house cats! 🐈,shorts #animalfacts #animals.,UgxVh8faB3K9VBot5Gp4AaABAg,oh god i want to cuddle a cheetah so much n.n,2025-12-29T12:01:56Z,https://www.youtube.com/watch?v=Kqxk4KQTfn0,US,US (text signal),oh god i want to cuddle a cheetah so much n n,Active Motivation / Ownership Desire,0.8232939839363098
YouTube,big cat pet,Big Cat,Kqxk4KQTfn0,This is why cheetahs are just bigger house cats! 🐈,shorts #animalfacts #animals.,Ugy2ovJxIXV4Y5Xy1sF4AaABAg,Now youve made me search for a pet cheetah,2025-07-19T02:28:14Z,https://www.youtube.com/watch?v=Kqxk4KQTfn0,US,US (text signal),now youve made me search for a pet cheetah,Active Motivation / Ownership Desire,0.8347320556640625
YouTube,big cat pet,Big Cat,4AWeSs5EKEo,Top 5 Biggest Cat Breeds (Number 1 Looks Like a Wild Animal!) #BigCats #CatLovers #WildLookingCats,"These house cats are HUGE—and totally lovable! From long-legged jungle hybrids to majestic fluff monsters, we're counting ...",Ugxo_P1PqDG8bRC-Yql4AaABAg,"I had a Maine Coon cat for 12 yrs, I found her at a shelter about to be euthanized! I adopted her on the spot. 12 more year of nothing but love, cuddles, play & when I had eye surgery, she took over leading new around in my wheelchair with no training. The best & most loving nurse/fur kids ever! I miss her everyday & night. I dang Starlight, Starbright every night. Her name was Starr. Now an Angel😢",2025-05-27T20:26:13Z,https://www.youtube.com/watch?v=4AWeSs5EKEo,US,Maine,i had a maine coon cat for 12 yrs i found her at a shelter about to be euthanized i adopted her on the spot 12 more year of nothing but love cuddles play when i had eye surgery she took over leading new around in my wheelchair with no training the best most loving nurse fur kids ever i miss her everyday night i dang starlight starbright every night her name was starr now an angel,Active Motivation / Ownership Desire,0.8599337339401245
YouTube,big cat pet,Big Cat,4AWeSs5EKEo,Top 5 Biggest Cat Breeds (Number 1 Looks Like a Wild Animal!) #BigCats #CatLovers #WildLookingCats,"These house cats are HUGE—and totally lovable! From long-legged jungle hybrids to majestic fluff monsters, we're counting ...",Ugxbga9FdFniM-4CvUB4AaABAg,"The Maine Coon cat. That's a large cat, that's all love.",2025-04-27T16:37:22Z,https://www.youtube.com/watch?v=4AWeSs5EKEo,US,Maine,the maine coon cat that's a large cat that's all love,Active Motivation / Ownership Desire,0.678846538066864
YouTube,big cat pet,Big Cat,4AWeSs5EKEo,Top 5 Biggest Cat Breeds (Number 1 Looks Like a Wild Animal!) #BigCats #CatLovers #WildLookingCats,"These house cats are HUGE—and totally lovable! From long-legged jungle hybrids to majestic fluff monsters, we're counting ...",UgxpZQRrXcB38qdeOSZ4AaABAg,Without a doubt I would choose the Maine Coon Cat. Truly a majestic pet.,2025-05-07T16:21:51Z,https://www.youtube.com/watch?v=4AWeSs5EKEo,US,Maine,without a doubt i would choose the maine coon cat truly a majestic pet,Active Motivation / Ownership Desire,0.8131952881813049
YouTube,big cat pet,Big Cat,4AWeSs5EKEo,Top 5 Biggest Cat Breeds (Number 1 Looks Like a Wild Animal!) #BigCats #CatLovers #WildLookingCats,"These house cats are HUGE—and totally lovable! From long-legged jungle hybrids to majestic fluff monsters, we're counting ...",Ugy8NE65aLYKaNSsG-l4AaABAg,I have been wanting a Maine Coon kitty forever. Love them.,2025-07-08T03:03:25Z,https://www.youtube.com/watch?v=4AWeSs5EKEo,US,Maine,i have been wanting a maine coon kitty forever love them,Active Motivation / Ownership Desire,0.9258477091789246
YouTube,big cat pet,Big Cat,4AWeSs5EKEo,Top 5 Biggest Cat Breeds (Number 1 Looks Like a Wild Animal!) #BigCats #CatLovers #WildLookingCats,"These house cats are HUGE—and totally lovable! From long-legged jungle hybrids to majestic fluff monsters, we're counting ...",UgwXX5nwnFZem3dfen54AaABAg,Love my Maine Coon Fluffy back in 1996 ❤❤❤,2025-05-14T20:23:52Z,https://www.youtube.com/watch?v=4AWeSs5EKEo,US,Maine,love my maine coon fluffy back in 1996,Active Motivation / Ownership Desire,0.8353835940361023
YouTube,big cat pet,Big Cat,4AWeSs5EKEo,Top 5 Biggest Cat Breeds (Number 1 Looks Like a Wild Animal!) #BigCats #CatLovers #WildLookingCats,"These house cats are HUGE—and totally lovable! From long-legged jungle hybrids to majestic fluff monsters, we're counting ...",Ugy79xxB7YO7v-n1T-t4AaABAg,"I owned Ragdolls, not purebred, cousins female brought home surprise. 
. Best animals i have ever owned in my 70 year's of life",2025-05-05T23:01:26Z,https://www.youtube.com/watch?v=4AWeSs5EKEo,US,US (text signal),i owned ragdolls not purebred cousins female brought home surprise best animals i have ever owned in my 70 year's of life,Active Motivation / Ownership Desire,0.6733738780021667
YouTube,big cat pet,Big Cat,4AWeSs5EKEo,Top 5 Biggest Cat Breeds (Number 1 Looks Like a Wild Animal!) #BigCats #CatLovers #WildLookingCats,"These house cats are HUGE—and totally lovable! From long-legged jungle hybrids to majestic fluff monsters, we're counting ...",UgxAoz2xUddk7XJdPNt4AaABAg,"Had my Maine Coon, Babygirl 4months shy of her 18th bday…😢😭.  What pure joy she gave me! ❤
Miss her with my whole heart…",2025-05-27T05:36:07Z,https://www.youtube.com/watch?v=4AWeSs5EKEo,US,Maine,had my maine coon babygirl 4months shy of her 18th bday what pure joy she gave me miss her with my whole heart,Active Motivation / Ownership Desire,0.79068922996521
