platform,keyword_used,category,video_id,video_title,video_description,comment_id,text_content,comment_date,source_url,country_context,location_geographic,clean_text,safety_type,final_category
YouTube,big cat pet,Big Cat,Kqxk4KQTfn0,This is why cheetahs are just bigger house cats! 🐈,shorts #animalfacts #animals.,UgxLEmJVhZGL929JIA94AaABAg,Remember it is weakest in strength in big cats and less aggressive too but it can still f*ck you up if you trouble it....,2025-08-15T08:09:01Z,https://www.youtube.com/watch?v=Kqxk4KQTfn0,US,US (text signal),remember it is weakest in strength in big cats and less aggressive too but it can still f ck you up if you trouble it,Safety Concern,General Exotic Pet
YouTube,big cat pet,Big Cat,eeaBpbAM7JY,Оn the claws / off the claws 😂,,Ugw2A-Ac-8MszzuiVTt4AaABAg,"Terrifying running into these cats in the wild.  Whether mountain lion, puma or panther.   They can devastate anything that isn't solid granite.  Amazing cats.",2025-10-17T02:35:12Z,https://www.youtube.com/watch?v=eeaBpbAM7JY,US,US (text signal),terrifying running into these cats in the wild whether mountain lion puma or panther they can devastate anything that isn't solid granite amazing cats,Safety Concern,General Exotic Pet
YouTube,big cat pet,Big Cat,DMiK9CZ_1W0,Big Dog and Big Cat didn&#39;t get along with each other.,,UgyY2dds2fqVaRB2-Dd4AaABAg,This is animal whose daily life is prepared in the wilderness because it is a dangerous animal,2024-09-17T02:45:58Z,https://www.youtube.com/watch?v=DMiK9CZ_1W0,US,US (text signal),this is animal whose daily life is prepared in the wilderness because it is a dangerous animal,Safety Concern,General Exotic Pet
YouTube,big cat pet,Big Cat,CZu5e0f2lRw,Danger Boops!,Boops! Book a tour here at Singlevisioninc.org.,UgymWIN_iMJ5gl2-Qmh4AaABAg,Danger? Theyare most friendly big cats i ever saw in internet,2024-01-27T16:27:05Z,https://www.youtube.com/watch?v=CZu5e0f2lRw,US,US (text signal),danger theyare most friendly big cats i ever saw in internet,Safety Concern,General Exotic Pet
YouTube,big cat pet,Big Cat,0gliCKfaFp0,"When you&#39;re trying to raise a cougar, and at the end, a kiss💋  #braige #animals #cat #bigcat",,UgwN2K_NdZxcgUJNmQx4AaABAg,It is still a wild animal. You do not always know what they are going to do. There are some people who own these wild animals were killed or eaten. They are not domestic animals.,2024-09-15T03:41:19Z,https://www.youtube.com/watch?v=0gliCKfaFp0,US,US (text signal),it is still a wild animal you do not always know what they are going to do there are some people who own these wild animals were killed or eaten they are not domestic animals,Safety Concern,General Exotic Pet
YouTube,big cat pet,Big Cat,l5T0L3wSbRw,Cat Is Cat No Matter Whats The Size ❤️,shorts #cat #cats #cougar #mountainlion #puma #ghostcat #bigcat #bigcats #animal #animals #animalfacts #animalshorts ...,UgzWfB6KTX5WsI5umbh4AaABAg,"This video is giving impression than Mountain Lions arent extremely dangerous when they absolutely are. They can easily kill children, pets and can kill adults as well. Do NOT treat them like pets or friends. Stay far away from them and make loud noises and appear big if you see one stalking you. Back away slowly and dont run.",2025-08-23T22:06:40Z,https://www.youtube.com/watch?v=l5T0L3wSbRw,US,US (text signal),this video is giving impression than mountain lions arent extremely dangerous when they absolutely are they can easily kill children pets and can kill adults as well do not treat them like pets or friends stay far away from them and make loud noises and appear big if you see one stalking you back away slowly and dont run,Safety Concern,General Exotic Pet
YouTube,big cat pet,Big Cat,l5T0L3wSbRw,Cat Is Cat No Matter Whats The Size ❤️,shorts #cat #cats #cougar #mountainlion #puma #ghostcat #bigcat #bigcats #animal #animals #animalfacts #animalshorts ...,Ugw1PYAk9F4fp6gMCpV4AaABAg,"When my daughter was 11 she said she wanted a pet mountain lion.  I have to be honest I almost got her one after her reasoning was spot on.  She said, and I quote ""who won the right mind would hurt me if I'm walking around with a mountain lion?""  How can a father argue with that kind of logic.",2025-08-30T23:24:07Z,https://www.youtube.com/watch?v=l5T0L3wSbRw,US,US (text signal),when my daughter was 11 she said she wanted a pet mountain lion i have to be honest i almost got her one after her reasoning was spot on she said and i quote who won the right mind would hurt me if i'm walking around with a mountain lion how can a father argue with that kind of logic,Safety Concern,General Exotic Pet
YouTube,big cat pet,Big Cat,xQYgceqmBog,Are Cheetahs Really Just Oversized House Cats… or Is That a Lie?,Are cheetahs just oversized house cats? You'll be shocked by how similar they really are. From their chirping sounds to their shy ...,UgyQ93OLJbCv2Cmuse54AaABAg,"always treat every animal with respect.  cheetahs may be calm around humans,  but they can still attack if provoked.  you dont want a huge gash on your arm or leg.",2025-07-09T23:24:31Z,https://www.youtube.com/watch?v=xQYgceqmBog,US,US (text signal),always treat every animal with respect cheetahs may be calm around humans but they can still attack if provoked you dont want a huge gash on your arm or leg,Safety Concern,General Exotic Pet
YouTube,big cat pet,Big Cat,f31bgL8-iaI,They are just bigger cats🐱#cat #cats #fyp #funny,,UgzoG6w0rdcsxPWGbqh4AaABAg,Seeing a tiger not act like a terrifying ambush predator but a forest kitty was not what I was expecting. Thankfully I know what they're really like in the wild.,2025-12-12T05:27:46Z,https://www.youtube.com/watch?v=f31bgL8-iaI,US,US (text signal),seeing a tiger not act like a terrifying ambush predator but a forest kitty was not what i was expecting thankfully i know what they're really like in the wild,Safety Concern,General Exotic Pet
YouTube,big cat pet,Big Cat,f31bgL8-iaI,They are just bigger cats🐱#cat #cats #fyp #funny,,UgxFts8oXgdyadO4xvl4AaABAg,"The fact they're just like small cats but just bigger is what makes them so scary to me. I've got cats and have my fair share of scratches from them just walking over me. Imagining that happening but with the talons on those big cats, yeah I would be disemboweled. lol",2025-05-16T14:13:16Z,https://www.youtube.com/watch?v=f31bgL8-iaI,US,US (text signal),the fact they're just like small cats but just bigger is what makes them so scary to me i've got cats and have my fair share of scratches from them just walking over me imagining that happening but with the talons on those big cats yeah i would be disemboweled lol,Safety Concern,General Exotic Pet
