platform,keyword_used,category,video_id,video_title,video_description,comment_id,text_content,comment_date,source_url,country_context,location_geographic,clean_text,safety_flag,final_category
YouTube,big cat pet,Big Cats,Kqxk4KQTfn0,This is why cheetahs are just bigger house cats! 🐈,shorts #animalfacts #animals.,UgxLEmJVhZGL929JIA94AaABAg,Remember it is weakest in strength in big cats and less aggressive too but it can still f*ck you up if you trouble it....,2025-08-15T08:09:01Z,https://www.youtube.com/watch?v=Kqxk4KQTfn0,US,US (text signal),remember it is weakest in strength in big cats and less aggressive too but it can still f ck you up if you trouble it,True,Big Cats
YouTube,big cat pet,Big Cats,XEYpyJJKDvM,Brave Dog save Snowy from Kenzo 😳 #tiger #babycats #tigercat #babytigers #tigerfight #zoo #kenzo,Brave Dog save Snowy from Kenzo #tiger #babycats #tigercat #babytigers #tigerfight #zoo #kenzo.,UgzQ7kVd0JrHT7v3qe94AaABAg,🐅: why is emergency food 1 and 2 attacking me,2024-11-17T02:55:01Z,https://www.youtube.com/watch?v=XEYpyJJKDvM,US,US (text signal),why is emergency food 1 and 2 attacking me,True,Big Cats
YouTube,big cat pet,Big Cats,XEYpyJJKDvM,Brave Dog save Snowy from Kenzo 😳 #tiger #babycats #tigercat #babytigers #tigerfight #zoo #kenzo,Brave Dog save Snowy from Kenzo #tiger #babycats #tigercat #babytigers #tigerfight #zoo #kenzo.,UgyywTgL_5fCl4NJwMp4AaABAg,"Tiger wasn't scared. It was confused thinking ""why my appetizer mad at me for?"" 😂",2024-06-23T16:17:41Z,https://www.youtube.com/watch?v=XEYpyJJKDvM,US,US (text signal),tiger wasn't scared it was confused thinking why my appetizer mad at me for,True,Big Cats
YouTube,big cat pet,Big Cats,XEYpyJJKDvM,Brave Dog save Snowy from Kenzo 😳 #tiger #babycats #tigercat #babytigers #tigerfight #zoo #kenzo,Brave Dog save Snowy from Kenzo #tiger #babycats #tigercat #babytigers #tigerfight #zoo #kenzo.,UgwxFQu4i833KsL8ecN4AaABAg,That Corgi has never felt fear in his entire life 😂,2024-05-29T03:49:57Z,https://www.youtube.com/watch?v=XEYpyJJKDvM,US,US (text signal),that corgi has never felt fear in his entire life,True,Big Cats
YouTube,big cat pet,Big Cats,eeaBpbAM7JY,Оn the claws / off the claws 😂,,Ugw2A-Ac-8MszzuiVTt4AaABAg,"Terrifying running into these cats in the wild.  Whether mountain lion, puma or panther.   They can devastate anything that isn't solid granite.  Amazing cats.",2025-10-17T02:35:12Z,https://www.youtube.com/watch?v=eeaBpbAM7JY,US,US (text signal),terrifying running into these cats in the wild whether mountain lion puma or panther they can devastate anything that isn't solid granite amazing cats,True,Big Cats
YouTube,big cat pet,Big Cats,eeaBpbAM7JY,Оn the claws / off the claws 😂,,UgxVjjlRhHXVHsm6FQN4AaABAg,From deadly to cuddly in a second. Such a sweetheart.,2025-10-23T03:16:12Z,https://www.youtube.com/watch?v=eeaBpbAM7JY,US,US (text signal),from deadly to cuddly in a second such a sweetheart,True,Big Cats
YouTube,big cat pet,Big Cats,eeaBpbAM7JY,Оn the claws / off the claws 😂,,UgyAN21zHfyQhGPTvpB4AaABAg,"You know when you’re petting or scratching your cat, and he’s purring and just loving it so much, then all of a sudden, HE DOESN’T?!!! 😂😂😂😂",2025-05-16T17:49:03Z,https://www.youtube.com/watch?v=eeaBpbAM7JY,US,US (text signal),you know when you re petting or scratching your cat and he s purring and just loving it so much then all of a sudden he doesn t,True,Big Cats
YouTube,big cat pet,Big Cats,eeaBpbAM7JY,Оn the claws / off the claws 😂,,UgzcoTzJ2_J3BB9WuJd4AaABAg,The love she has received absolutely reflects in the love she shows you. As soon as you touch her claws she pulls them back so quick just tells me she knows you could be hurt and doesn’t want to hurt you. I just love Luna she’s so beautiful. Bless your home.,2025-05-18T17:37:18Z,https://www.youtube.com/watch?v=eeaBpbAM7JY,US,US (text signal),the love she has received absolutely reflects in the love she shows you as soon as you touch her claws she pulls them back so quick just tells me she knows you could be hurt and doesn t want to hurt you i just love luna she s so beautiful bless your home,True,Big Cats
YouTube,big cat pet,Big Cats,eeaBpbAM7JY,Оn the claws / off the claws 😂,,UgydXY1ZqswhSp3ajZd4AaABAg,Wow!!! Oh my gosh!! Those are the most terrifying claws I've ever seen 😮😮😮. Such a wonderful watch cat!! So glad Luna's on our side ❤,2025-05-10T18:24:03Z,https://www.youtube.com/watch?v=eeaBpbAM7JY,US,US (text signal),wow oh my gosh those are the most terrifying claws i've ever seen such a wonderful watch cat so glad luna's on our side,True,Big Cats
YouTube,big cat pet,Big Cats,iI2DtQnLxSk,My Bucket,,UgxmWOY7JknsZ5hoDQx4AaABAg,In one snarl you get to see their power. Amazing and scary.,2024-07-13T19:26:22Z,https://www.youtube.com/watch?v=iI2DtQnLxSk,US,US (text signal),in one snarl you get to see their power amazing and scary,True,Big Cats
YouTube,big cat pet,Big Cats,iI2DtQnLxSk,My Bucket,,UgzdrLDrZ71JB6tstel4AaABAg,The bite at the end scared me 😭,2025-04-22T04:59:30Z,https://www.youtube.com/watch?v=iI2DtQnLxSk,US,US (text signal),the bite at the end scared me,True,Big Cats
YouTube,big cat pet,Big Cats,iI2DtQnLxSk,My Bucket,,UgzoB_nQRWCLyzieXEZ4AaABAg,"You see... when a big jungle cat looks mad as fuck like that, chances are you're probably in danger.",2024-07-14T04:24:22Z,https://www.youtube.com/watch?v=iI2DtQnLxSk,US,US (text signal),you see when a big jungle cat looks mad as fuck like that chances are you're probably in danger,True,Big Cats
YouTube,big cat pet,Big Cats,BHNS1f_y5Ac,Ranking Best Big Cat Housecats Moments,memes #funny #compilation #ranked #laugh #memesdaily #meme #cat #tiger #lion.,Ugzc58jJxoiGe856B6p4AaABAg,"the ""mew"" at the end got me dying

EDIT: YOOO Thank You So Much For 100+ Likes, It Might Be my Most Liked Comment! Scratch That, 200+! Thank You All!",2025-05-29T14:14:16Z,https://www.youtube.com/watch?v=BHNS1f_y5Ac,US,US (text signal),the mew at the end got me dying edit yooo thank you so much for 100 likes it might be my most liked comment scratch that 200 thank you all,True,Big Cats
YouTube,big cat pet,Big Cats,DMiK9CZ_1W0,Big Dog and Big Cat didn&#39;t get along with each other.,,Ugw_7jPCStcY32rqU3x4AaABAg,The cougar is beautiful but this kind of introduction is not ok… its terrifying for both of them,2024-09-07T11:52:57Z,https://www.youtube.com/watch?v=DMiK9CZ_1W0,US,US (text signal),the cougar is beautiful but this kind of introduction is not ok its terrifying for both of them,True,Big Cats
YouTube,big cat pet,Big Cats,DMiK9CZ_1W0,Big Dog and Big Cat didn&#39;t get along with each other.,,UgyY2dds2fqVaRB2-Dd4AaABAg,This is animal whose daily life is prepared in the wilderness because it is a dangerous animal,2024-09-17T02:45:58Z,https://www.youtube.com/watch?v=DMiK9CZ_1W0,US,US (text signal),this is animal whose daily life is prepared in the wilderness because it is a dangerous animal,True,Big Cats
YouTube,big cat pet,Big Cats,CZu5e0f2lRw,Danger Boops!,Boops! Book a tour here at Singlevisioninc.org.,UgxjLaqntvQ9dEyl6ap4AaABAg,"""I am a tiger, the most feared creature in the jungle. I am king of the animals- *booped*""
""...""
""More, please.""",2025-03-09T20:01:49Z,https://www.youtube.com/watch?v=CZu5e0f2lRw,US,US (text signal),i am a tiger the most feared creature in the jungle i am king of the animals booped more please,True,Big Cats
YouTube,big cat pet,Big Cats,CZu5e0f2lRw,Danger Boops!,Boops! Book a tour here at Singlevisioninc.org.,UgzNblIFPXx6MZFw_v54AaABAg,I love the hyena being like give me all the scratchies❤️,2023-10-23T10:44:26Z,https://www.youtube.com/watch?v=CZu5e0f2lRw,US,US (text signal),i love the hyena being like give me all the scratchies,True,Big Cats
YouTube,big cat pet,Big Cats,CZu5e0f2lRw,Danger Boops!,Boops! Book a tour here at Singlevisioninc.org.,UgxLZ0Sj8ZUGhWHm53p4AaABAg,"Fun Fact: All cat species have a boop counter, and every cat is different. When the boop counter reaches its limit it kills whatever is in the perimeter, then it resets.",2023-05-23T12:22:12Z,https://www.youtube.com/watch?v=CZu5e0f2lRw,US,US (text signal),fun fact all cat species have a boop counter and every cat is different when the boop counter reaches its limit it kills whatever is in the perimeter then it resets,True,Big Cats
YouTube,big cat pet,Big Cats,CZu5e0f2lRw,Danger Boops!,Boops! Book a tour here at Singlevisioninc.org.,UgxHer5zfaB-193swEh4AaABAg,"When a cat closes their eyes around you, they know that they are safe. That or they don't consider you a threat.",2023-09-17T14:22:13Z,https://www.youtube.com/watch?v=CZu5e0f2lRw,US,US (text signal),when a cat closes their eyes around you they know that they are safe that or they don't consider you a threat,True,Big Cats
YouTube,big cat pet,Big Cats,CZu5e0f2lRw,Danger Boops!,Boops! Book a tour here at Singlevisioninc.org.,UgymWIN_iMJ5gl2-Qmh4AaABAg,Danger? Theyare most friendly big cats i ever saw in internet,2024-01-27T16:27:05Z,https://www.youtube.com/watch?v=CZu5e0f2lRw,US,US (text signal),danger theyare most friendly big cats i ever saw in internet,True,Big Cats
YouTube,big cat pet,Big Cats,0gliCKfaFp0,"When you&#39;re trying to raise a cougar, and at the end, a kiss💋  #braige #animals #cat #bigcat",,UgzVwGW0bcMy-AMXxFZ4AaABAg,She’s actually doing the right thing and teaching boundaries as it would be taught by mom and dad in the wild. And she understood and softened up. Better and safer to teach this while they’re young and impressionable before they get the wrong mindset and get full grown to where they can be dangerous. Kudos,2024-09-18T16:13:19Z,https://www.youtube.com/watch?v=0gliCKfaFp0,US,US (text signal),she s actually doing the right thing and teaching boundaries as it would be taught by mom and dad in the wild and she understood and softened up better and safer to teach this while they re young and impressionable before they get the wrong mindset and get full grown to where they can be dangerous kudos,True,Big Cats
YouTube,big cat pet,Big Cats,0gliCKfaFp0,"When you&#39;re trying to raise a cougar, and at the end, a kiss💋  #braige #animals #cat #bigcat",,UgwN2K_NdZxcgUJNmQx4AaABAg,It is still a wild animal. You do not always know what they are going to do. There are some people who own these wild animals were killed or eaten. They are not domestic animals.,2024-09-15T03:41:19Z,https://www.youtube.com/watch?v=0gliCKfaFp0,US,US (text signal),it is still a wild animal you do not always know what they are going to do there are some people who own these wild animals were killed or eaten they are not domestic animals,True,Big Cats
YouTube,big cat pet,Big Cats,0gliCKfaFp0,"When you&#39;re trying to raise a cougar, and at the end, a kiss💋  #braige #animals #cat #bigcat",,UgxUfe0TsALYrGrTtU14AaABAg,Cute training skills 😂 love that. I want a girl to treat me like that,2025-01-09T00:26:05Z,https://www.youtube.com/watch?v=0gliCKfaFp0,US,US (text signal),cute training skills love that i want a girl to treat me like that,True,Big Cats
YouTube,big cat pet,Big Cats,abuAUjFv88s,The Savannah: The Largest Domestic Cats in the World | Cats 101,The Savannah cat are large in size and look like a wildcat. The Savannah are a cross breed of the wild serval cat of Africa and a ...,UgwOAKngP3zd_zdHfDR4AaABAg,"I remember when I was growing up, we found 2 kittens. We kept them for a couple of months, but one of them was normal with a slight mean streak and the other seemed to have mental issues. The normal one would give us the killer look,  but never attacked us. At night, she would just walk up and down on us while we slept in our beds like she was prowling and protecting us. We were just kids then. We always had cats, but they were different and we never knew what type of kittens we had gotten. They were loyal and liked to play along with cuddles, but we had to get rid of them because they would not use the litter box no matter how hard we tried. I’m looking at this video, and the Savannah cats look exactly like them and I am certain they were Savannah. Same spots, slender bodies, and big in size for cats under a year old.",2020-08-17T23:33:55Z,https://www.youtube.com/watch?v=abuAUjFv88s,US,US (text signal),i remember when i was growing up we found 2 kittens we kept them for a couple of months but one of them was normal with a slight mean streak and the other seemed to have mental issues the normal one would give us the killer look but never attacked us at night she would just walk up and down on us while we slept in our beds like she was prowling and protecting us we were just kids then we always had cats but they were different and we never knew what type of kittens we had gotten they were loyal and liked to play along with cuddles but we had to get rid of them because they would not use the litter box no matter how hard we tried i m looking at this video and the savannah cats look exactly like them and i am certain they were savannah same spots slender bodies and big in size for cats under a year old,True,Big Cats
YouTube,big cat pet,Big Cats,abuAUjFv88s,The Savannah: The Largest Domestic Cats in the World | Cats 101,The Savannah cat are large in size and look like a wildcat. The Savannah are a cross breed of the wild serval cat of Africa and a ...,UgyGeW7IrSJXpLiUmPp4AaABAg,"My Savannah F3 is an attention hog 🤣.  He's dangerously sweet and everyone is scared at first, then they fall in love 😆",2020-10-02T08:25:17Z,https://www.youtube.com/watch?v=abuAUjFv88s,US,US (text signal),my savannah f3 is an attention hog he's dangerously sweet and everyone is scared at first then they fall in love,True,Big Cats
YouTube,big cat pet,Big Cats,Ddp1EOOTMUc,The Biggest Cat That Still Purrs 🐆🔊.,The Biggest Cat That Still Purrs #shorts #shortsfeed #viralshorts.,Ugxwemzw7ubcIC1PqQp4AaABAg,"I've had multiple house cats... They all have had at least 1 or more psycho days..  as in ""I'm pissed off today and will scratch / bite / attack for absolute no apparent reason"".. anyone who is in their right mind should never ever have a big wild cat in their house which on a bad day is capable of removing your head..",2025-09-30T10:41:53Z,https://www.youtube.com/watch?v=Ddp1EOOTMUc,US,US (text signal),i've had multiple house cats they all have had at least 1 or more psycho days as in i'm pissed off today and will scratch bite attack for absolute no apparent reason anyone who is in their right mind should never ever have a big wild cat in their house which on a bad day is capable of removing your head,True,Big Cats
