platform,keyword_used,category,video_id,video_title,video_description,comment_id,text_content,comment_date,source_url,country_context,location_geographic,clean_text,welfare_type,welfare_score
YouTube,big cat pet,Big Cat,Kqxk4KQTfn0,This is why cheetahs are just bigger house cats! 🐈,shorts #animalfacts #animals.,UgzZzYSHruVl2IzI4rt4AaABAg,Yup. Cheetahs in captivity often get their own dog companions.,2026-01-21T21:36:35Z,https://www.youtube.com/watch?v=Kqxk4KQTfn0,US,US (text signal),yup cheetahs in captivity often get their own dog companions,Animal Welfare Concern,0.6500231027603149
YouTube,big cat pet,Big Cat,DMiK9CZ_1W0,Big Dog and Big Cat didn&#39;t get along with each other.,,UgzRdmcfgKbdhH0QiRN4AaABAg,When this Puma does permanent damage to the gentleman holding it he will learn what a five year old know. Wild animals belong in the wild.,2024-09-11T17:34:39Z,https://www.youtube.com/watch?v=DMiK9CZ_1W0,US,US (text signal),when this puma does permanent damage to the gentleman holding it he will learn what a five year old know wild animals belong in the wild,Animal Welfare Concern,0.8514594435691833
YouTube,big cat pet,Big Cat,abuAUjFv88s,The Savannah: The Largest Domestic Cats in the World | Cats 101,The Savannah cat are large in size and look like a wildcat. The Savannah are a cross breed of the wild serval cat of Africa and a ...,UgzqydB9wTy1VTqGt-t4AaABAg,"A lot of these beautiful cats ends up living in misery when the owners realizes that they can't handle the destruction that comes with Savannah cat. They are wild and needs a lot more care than people understand what comes to feeding them example. They do not thrive with cat food, they need raw food diet that comes expensivie pretty fast. It how far Mondo got in few days shows how much these cats needs space to move around. Their living space should not be one room or small cage. They need space to get that exercise. 



If you do clips like this you should also bring out the negatives that comes with owning cat like this. How they are bread example. It is not without problems. With cute videos you end up selling idea from owning cat like this for people that don't know what they are getting into and result will be suffering for everyone but mostly for the animals that are forced to take part to this. Seriously disappointed that Discovery takes part to things like this.",2020-02-18T10:16:23Z,https://www.youtube.com/watch?v=abuAUjFv88s,US,US (text signal),a lot of these beautiful cats ends up living in misery when the owners realizes that they can't handle the destruction that comes with savannah cat they are wild and needs a lot more care than people understand what comes to feeding them example they do not thrive with cat food they need raw food diet that comes expensivie pretty fast it how far mondo got in few days shows how much these cats needs space to move around their living space should not be one room or small cage they need space to get that exercise if you do clips like this you should also bring out the negatives that comes with owning cat like this how they are bread example it is not without problems with cute videos you end up selling idea from owning cat like this for people that don't know what they are getting into and result will be suffering for everyone but mostly for the animals that are forced to take part to this seriously disappointed that discovery takes part to things like this,Animal Welfare Concern,0.9965603351593018
YouTube,big cat pet,Big Cat,xQYgceqmBog,Are Cheetahs Really Just Oversized House Cats… or Is That a Lie?,Are cheetahs just oversized house cats? You'll be shocked by how similar they really are. From their chirping sounds to their shy ...,UgynJ_XdEuHCbQ5y4ZJ4AaABAg,There's something very wholesome and heartwarming about labrador puppies helping cheetahs stay calm and live a more fulfilling life in the unfortunate event of captivity.,2025-07-21T21:13:20Z,https://www.youtube.com/watch?v=xQYgceqmBog,US,US (text signal),there's something very wholesome and heartwarming about labrador puppies helping cheetahs stay calm and live a more fulfilling life in the unfortunate event of captivity,Animal Welfare Concern,0.8826303482055664
YouTube,big cat pet,Big Cat,4TQwaNURpPs,Leopard is the best tree climber among big cats#animals #funnyanimal #funny #leopard,,UgxcrTUke-r_u2annCN4AaABAg,"The child in me says: cuddle, snuggle, and show affection.
The adult in me says: leopards belong in the wild, not in captivity.",2025-07-02T20:41:20Z,https://www.youtube.com/watch?v=4TQwaNURpPs,US,US (text signal),the child in me says cuddle snuggle and show affection the adult in me says leopards belong in the wild not in captivity,Animal Welfare Concern,0.9614796042442322
YouTube,big cat pet,Big Cat,UzjrqIoJBeU,Why Cheetahs Are Basically Turbocharged House Cats #animals #cheetah #cute,,UgxMSp6N2x6-fuKzqQR4AaABAg,"Cheetahs do suffer from anxiety a lot. So much so that even in the wild some just stop hunting and die of starvation.
In captivity the anxiety can get even worse.
So giving them a dog companion, especially something like a Golden Retriever whose main goal in life is to make friends and adopt everything and anything can be really beneficial to a Cheetah.
So yes, these big Cats, the largest breed of the Small Cats family actually, do need a puppy of their own.",2025-10-11T17:13:32Z,https://www.youtube.com/watch?v=UzjrqIoJBeU,US,US (text signal),cheetahs do suffer from anxiety a lot so much so that even in the wild some just stop hunting and die of starvation in captivity the anxiety can get even worse so giving them a dog companion especially something like a golden retriever whose main goal in life is to make friends and adopt everything and anything can be really beneficial to a cheetah so yes these big cats the largest breed of the small cats family actually do need a puppy of their own,Animal Welfare Concern,0.9626380205154419
YouTube,big cat pet,Big Cat,UzjrqIoJBeU,Why Cheetahs Are Basically Turbocharged House Cats #animals #cheetah #cute,,Ugy8_WT9nPjEIdMnOIh4AaABAg,"Cheetahs look to other cheetahs for social cues so a group of cheetahs can quickly go on an anxiety spiral of doom, especially in captivity. That's why you put them with golden retrievers who are perpetually unbothered by everything and believes absolutely everyone is their best friend.",2025-07-12T13:45:54Z,https://www.youtube.com/watch?v=UzjrqIoJBeU,US,US (text signal),cheetahs look to other cheetahs for social cues so a group of cheetahs can quickly go on an anxiety spiral of doom especially in captivity that's why you put them with golden retrievers who are perpetually unbothered by everything and believes absolutely everyone is their best friend,Animal Welfare Concern,0.9773707985877991
YouTube,big cat pet,Big Cat,jVYHVV1hPqs,The 5 Most Expensive Cats In The World,,UgzNwL4A5dD13EGoxIF4AaABAg,"My Bengal cat disappeared. We live in a rural setting with lots of owls, hawks, foxes, bears & mountain lions. It's so sad to think that she might've gotten eaten, but she loved being outside so much, that I couldn't deny her that. Miss you, Josie!",2025-04-22T00:07:06Z,https://www.youtube.com/watch?v=jVYHVV1hPqs,US,US (text signal),my bengal cat disappeared we live in a rural setting with lots of owls hawks foxes bears mountain lions it's so sad to think that she might've gotten eaten but she loved being outside so much that i couldn't deny her that miss you josie,Animal Welfare Concern,0.932492733001709
YouTube,tiger pet,Big Cat,nqiY7d951QA,Would a Tiger Make a Good Pet? | Pets Rated 😲 #tiger #petrating #animalreview #viralanimals,"Would a tiger actually make a good pet? Tigers are stunning and powerful big cats, but keeping one is far from simple.",Ugxu8FKr4WKfNe5YuE14AaABAg,Even house cats suffer through depression when they are not actively hunting. I could only imagine how a Tiger would be if it was living in a smaller place where food is abundant but the thrill of the hunt and the kill is absent which is primordial to their nature.,2025-10-05T15:16:47Z,https://www.youtube.com/watch?v=nqiY7d951QA,US,US (text signal),even house cats suffer through depression when they are not actively hunting i could only imagine how a tiger would be if it was living in a smaller place where food is abundant but the thrill of the hunt and the kill is absent which is primordial to their nature,Animal Welfare Concern,0.8512740731239319
YouTube,tiger pet,Big Cat,TIq3n2xB1V8,Do you want to have a bodyguard like that? #pet #animals #handsome #lion #shorts #shortvideo,,Ugx31EmZS0QWmJ-Rj-J4AaABAg,Lions are not toys. Majestic creatures belong in the wild.,2024-10-09T14:11:21Z,https://www.youtube.com/watch?v=TIq3n2xB1V8,US,US (text signal),lions are not toys majestic creatures belong in the wild,Animal Welfare Concern,0.9260365962982178
